,id,sub_id,status,datetime_load,sub_year_month
0,0,156,active,2023-02-25 19:18:59.400893,2020-03
1,1,156,active,2023-02-25 19:18:59.400893,2020-04
2,2,156,active,2023-02-25 19:18:59.400893,2020-12
3,3,156,canceled,2023-02-25 19:18:59.400893,2021-02
4,4,156,active,2023-02-25 19:18:59.400893,2021-04
5,5,156,active,2023-02-25 19:18:59.400893,2021-07
6,6,156,active,2023-02-25 19:18:59.400893,2021-08
7,7,156,active,2023-02-25 19:18:59.400893,2021-10
8,8,156,canceled,2023-02-25 19:18:59.400893,2021-11
9,9,256,active,2023-02-25 19:18:59.400893,2020-05
10,10,256,canceled,2023-02-25 19:18:59.400893,2020-06
11,11,256,active,2023-02-25 19:18:59.400893,2020-07
12,12,256,canceled,2023-02-25 19:18:59.400893,2020-08
13,13,256,active,2023-02-25 19:18:59.400893,2020-12
14,14,256,active,2023-02-25 19:18:59.400893,2021-01
15,15,256,active,2023-02-25 19:18:59.400893,2021-02
16,16,256,active,2023-02-25 19:18:59.400893,2021-03
17,17,256,canceled,2023-02-25 19:18:59.400893,2021-04
18,18,256,canceled,2023-02-25 19:18:59.400893,2021-05
19,19,256,canceled,2023-02-25 19:18:59.400893,2021-07
20,20,256,active,2023-02-25 19:18:59.400893,2021-09
21,21,256,active,2023-02-25 19:18:59.400893,2021-10
22,22,256,active,2023-02-25 19:18:59.400893,2021-11
23,23,256,canceled,2023-02-25 19:18:59.400893,2021-12
